,0,1,2,3,4,5
41,경희궁,4.4,1008,박물관과 인접한 역사적인 궁궐,문화적 랜드마크,서울특별시 종로구 새문안로 45
42,흥인지문,4.3,5698,성곽의 유서 깊은 문,역사적 명소,서울특별시 종로구 종로 288
43,남산 공원,4.6,1447,타워와 케이블카가 있는 산책 명소,관광 명소,서울특별시 용산구 남산공원길 105
44,익선동 한옥거리,4.2,6176,세련된 상점과 식당 거리,역사적 명소,서울특별시 종로구 익선동
45,서대문형무소역사관,4.6,7366,1908년에 지어진 감옥에 자리한 형무소 역사관,역사 박물관,서울특별시 서대문구 통일로 251
46,서울스카이,4.6,822,,전망대,서울특별시 송파구 올림픽로 300
47,인왕산,4.7,223,다양한 형태의 거대한 화강암 봉우리,산봉우리,서울특별시
48,반포한강공원,4.4,6497,산책과 자전거 타기를 즐길 수 있는 강변 공원,공원,서울특별시 서초구 신반포로11길 40
49,하늘공원,4.5,7630,높이 자란 잔디와 아름다운 풍경이 있는 공원,공원,서울특별시 마포구 상암동 482
50,낙산공원,4.5,5012,언덕 위의 아름다운 전경과 산책로,공원,서울특별시 종로구 낙산길 41
51,명동대성당,4.6,7674,19세기 고딕 양식 성당,대성당,서울특별시 중구 명동길 74
52,대한민국역사박물관,4.5,2644,근현대사 박물관,역사 박물관,서울특별시 종로구 세종대로 198
53,남한산성 전승문,4.3,1938,유서 깊은 군사 도시의 석문,역사적 명소,경기도 광주시 중부면 산성리 661
54,여의도공원,4.4,5443,휴양 명소인 아름다운 공원,공원,서울특별시 영등포구 여의공원로 68
55,뮤지엄 김치간,4.2,414,김치 전시가 있는 현대적인 공간,문화유산 박물관,서울특별시 종로구 인사동길 35-4
56,국제갤러리,4.4,293,디자인이 아름다운 현대 미술관,미술관,서울특별시 종로구 삼청로 54
57,서울특별시청,4.3,553,세련되고 현대적인 시청 건물,시청,서울특별시 중구 세종대로 110
58,코코넛박스,4.2,4130,3D 착시 미술 전시관,전시,서울특별시 마포구 홍익로3길 20
59,운현궁,4.3,2478,왕실과 정치 지도자가 거주했던 궁전,문화적 랜드마크,서울특별시 종로구 삼일대로 464
60,관악산,4.5,326,사찰이 있는 산,산봉우리,과천시
61,대림미술관,4.2,2088,사진 전시가 있는 현대적 공간,현대미술관,서울특별시 종로구 자하문로4길 21
62,일산호수공원,4.5,5626,"산책, 예술, 이벤트를 즐길 수 있는 호숫가 공원",공원,경기도 고양시 일산동구 호수로 595
63,경의선숲길공원,4.4,2357,옛 철로를 개조한 직선형 녹지 공간,공원,서울특별시 마포구 동교동 147-89
64,통인시장,3.8,6474,한국 음식을 판매하는 재래시장,재래시장,서울특별시 종로구 자하문로15길 18
65,종묘,4.5,531,조선 왕조의 왕과 왕비를 위한 사원,성지,서울특별시 종로구 종로 157
66,세빛둥둥섬,4.2,164,한강의 아름다운 섬,섬,서울특별시
67,광명동굴,4.3,11310,조명 쇼와 와인을 즐기기 좋은 유서 깊은 동굴,관광 명소,경기도 광명시 학온동 가학로85번길 142
68,석촌호수공원,4.5,4571,호수와 산책로가 있는 넓고 울창한 공원,공원,서울특별시 송파구 송파나루길 206
69,국립현대미술관 덕수궁,4.6,1630,국내외 현대 예술을 전시하는 미술관,현대미술관,서울특별시 중구 세종대로 99
70,용마랜드,3.9,303,폐장된 어린이 놀이공원,촬영 스튜디오,서울특별시 중랑구 망우로70길 118
71,창덕궁 후원,4.8,1042,유서 깊은 궁궐 근처의 조경 공원,역사적 명소,서울특별시 종로구 율곡로 99번지
72,국립현대미술관 서울,4.6,1409,미술관 및 예술,현대미술관,서울특별시 종로구 삼청로5길 30
73,북서울 꿈의숲,4.5,4299,산책로 및 아트 센터가 있는 거대한 공원,공원,서울특별시 강북구 월계로 173
74,디뮤지엄,4.2,2234,현대 예술 전시가 있는 독특한 미술관,미술관,서울특별시 성동구 왕십리로 83-21
75,아차산,4.4,293,도시가 보이고 둘레길이 있는 산,산봉우리,구리시
76,탑골공원,3.7,3027,10층 석탑이 자리한 공원,공원,서울특별시 종로구 종로 99
77,도산공원,4.4,1775,한국의 독립운동가를 기리는 나무가 우거진 공원,공원,서울특별시 강남구 도산대로45길 20
78,석촌호수,4.5,1144,인기 있는 도심 호수와 휴식 공간,공원,서울특별시 송파구 송파나루길 206
79,국립과천과학관,4.5,7773,현대적 공간의 인터랙티브 전시관,과학박물관,경기도 과천시 상하벌로 110
80,남산 케이블카,4.2,9924,탁 트인 전망의 공중 케이블카,관광 명소,서울특별시 용산구 남산공원길 105
81,인천대공원,4.4,5713,도심 속 대형 자연공원과 쉼터,공원,인천광역시 남동구 무네미로 236
82,문화비축기지,4.2,2036,무대와 전시관이 있는 문화 공원,문화센터,서울특별시 마포구 증산로 87
83,갤러리현대,4.5,218,회화와 조각이 전시된 현대 미술관,미술관,서울특별시 종로구 삼청로 14
84,세종문화회관,4.4,6387,한국 공연 예술 센터,문화센터,서울특별시 종로구 세종대로 175
85,노들섬,4.4,125,"음악, 오페라 극장 및 예술",섬,서울특별시
86,도봉산,4.6,222,거대한 바위와 고찰이 있고 녹음이 우거진 봉우리,산봉우리,서울특별시
87,망원시장,4.2,6931,"지역특산물, 간식, 따뜻한 음식",재래시장,서울특별시 마포구 포은로6길 27
88,아모레퍼시픽미술관,4.5,591,"미술관, 예술 및 박물관",미술관,서울특별시 용산구 한강대로 100
89,서울광장,4.2,3008,현장 행사가 열리는 타원형 녹지 공간,공원,서울특별시 중구 세종대로 110
90,송도 센트럴파크,4.5,5006,뉴욕 센트럴 파크를 모델로 한 공원,시티 공원,인천광역시 연수구 송도동 컨벤시아대로 160
91,월미도,4.1,368,"식당, 상점, 놀이공원",섬,인천광역시
92,인천 차이나타운,3.9,10331,중국 음식을 즐기는 사람들에게 인기 있는 장소,관광 명소,인천광역시 중구 북성동
93,송월동 동화마을,3.9,7691,동화 그림으로 장식한 마을,관광 명소,인천광역시 중구 송월동3가 자유공원서로45번길
94,인천대교,4.4,301,20km가 넘는 6차선 고속도로 다리,다리,인천광역시
95,대한불교조계종 전등사(傳燈寺),4.2,309,나무가 울창하고 고즈넉한 불교 사찰,불교사찰,인천광역시 강화군 길상면 전등사로 37-41
96,월미테마파크,4.0,7089,다양한 놀이기구와 실내 놀이터,놀이공원,인천광역시 중구 북성동 월미문화로 81
97,자유공원,4.3,1714,계절의 변화를 느낄 수 있는 언덕 산책로,공원,인천광역시 중구 자유공원남로 25
98,원마운트,3.8,7296,겨울과 여름 액티비티를 모두 즐길 수 있는 테마파크,테마파크,경기도 고양시 일산서구 대화동 2606
99,신포국제시장,4.1,8222,"먹거리, 패션 제품 등이 있는 야외 시장",시장,인천광역시 중구 신포동 우현로49번길 11-5
