,0,1,2
39,소래생태습지,생태 공원,인천광역시 남동구 소래로154번길 77
40,대부바다향기테마파크,관광 명소,경기도 안산시 단원구 대부북동
41,강화 소창체험관(구 평화직물),박물관,인천광역시 강화군 강화읍 남문안길20번길 8
42,씨사이드파크,생태 공원,인천광역시 중구 영종동 하늘달빛로 2번길 6
43,선녀바위,관광 명소,인천 중구 을왕동 678-51
44,한국이민사박물관,역사 박물관,인천광역시 중구 월미로 329
45,시화나래휴게소,휴게소,경기도 안산시 단원구 대부동동 2098-1
46,월미공원,공원,인천광역시 중구 북성동1가 90
47,영종 씨사이드파크 레일바이크,관광 명소,인천광역시 중구 중산동 1957-2
48,송도 한옥마을,관광 명소,인천광역시 연수구 송도동
49,시흥 연꽃테마파크,생태 공원,경기도 시흥시 관곡지로 139
50,관곡지,역사적 장소,경기도 시흥시 하중동 208
51,배곧 한울공원,공원,경기도 시흥시 배곧 2로 106
52,덕진진,역사적 명소,인천광역시 강화군 불은면 덕성리 846
53,인천아트플랫폼,문화,인천광역시 중구 제물량로218번길 3 (해안동1가)
54,대룡시장,재래시장,인천광역시 강화군 교동면 대룡리 460-8
55,옥토끼우주센터,과학박물관,인천광역시 강화군 불은면 두운리 1026
56,강화 고려궁지,고대 유적지,인천광역시 강화군 강화읍 북문길 42
57,대전오월드,테마파크,대전광역시 중구 사정공원로 70
58,국립중앙과학관,과학박물관,대전광역시 유성구 대덕대로 481
59,한밭수목원,수목원,대전광역시 서구 둔산대로117번길 169
60,청남대(靑南臺),관광 명소,충청북도 청주시 상당구 문의면 청남대길 646
61,대전시립미술관,미술관,대전광역시 서구 둔산대로117번길 155
62,이응노미술관,미술관,대전광역시 서구 둔산대로117번길 157
63,대둔산,산봉우리,완주군
64,장태산 자연휴양림,휴양림,대전광역시 서구 장안동 산15번지
65,뿌리공원,공원,대전광역시 중구 뿌리공원로 79
66,엑스포다리,다리,대전광역시 유성구 도룡동
67,국립세종수목원,수목원,세종시 중앙수목원로 212-24
68,세종호수공원,공원,세종 연기군 특별자치시 다솜로 216
69,계족산 황톳길,하이킹코스,대전광역시 대덕구 장동 485
70,대동하늘공원,공원,대전광역시 동구 자양동 20-9
71,대전중앙시장,시장,대전광역시 동구 중동 81-3
72,대전스카이로드,관광 명소,대전광역시 중구 은행선화동 중앙로164번길
73,한빛탑,전망대,대전광역시 유성구 도룡동 3-1
74,우암사적공원,공원,대전광역시 동구 가양동 65
75,대전아쿠아리움,수족관,대전광역시 중구 보문산공원로 469
76,화폐박물관,박물관,대전광역시 유성구 과학로 80-67
77,회덕동춘당,역사적 명소,대전광역시 대덕구 송촌동 192
78,대전시립박물관,지역사 박물관,대전광역시 유성구 도안대로 398
79,장령산 자연휴양림,휴양림,충청북도 옥천군 군서면 장령산로 519
80,엑스포시민광장,시티 공원,대전광역시 서구 둔산대로117번길 169
81,문의문화재단지,문화 유산 보존,충청북도 청주시 상당구 문의면 대청호반로 721
82,지질박물관,박물관,대전광역시 유성구 과학로 124
83,계룡산국립공원 수통골지구,국립공원,대전광역시 유성구 덕명동 219-8
84,만인산 자연휴양림,휴양림,대전광역시 동구 산내동 산내로 106
85,상소동산림욕장,관광 명소,대전광역시 동구 상소동 산1-1
86,장계관광지,관광 명소,충청북도 옥천군 안내면 장계1길 57
87,계족산성,역사적 장소,대전광역시 대덕구 장동 산85
88,대둔산도립공원 (전북),산봉우리,완주군
89,수락계곡,관광 명소,충청남도 논산시 벌곡면 수락리
90,대전선사박물관,박물관,대전 유성구 노은동길 100 (지족동 920번지)
91,플라워랜드,공원,대전광역시 중구 사정동 146
92,장동산림욕장,휴양림,대전광역시 대덕구 장동 산59
93,하늘물빛정원,수목원,충청남도 금산군 추부면 검한1길 156
94,수생식물학습원,식물원,충청북도 옥천군 군북면 대정리 100-10
95,식장산 해돋이전망대,관광 명소,대전광역시 동구 세천동 산43-5
96,둔산선사유적지,역사적 명소,대전광역시 서구 대덕대로317번길 9
97,한밭교육박물관,박물관,대전광역시 동구 우암로 96
